Gene,Log2FC,P-Value,Direction,Pathway,Drug_ID,Target_ID
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL186,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL148,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL127,CHEMBL1287596
FEZ1,-4.89730320234416,1.20845279655565e-14,Downregulated,nervous system development (GO:0007399),CHEMBL158,CHEMBL1287596
SDK1,-3.8487601926819,2.66392239866446e-09,Downregulated,nervous system development (GO:0007399),CHEMBL1221600,CHEMBL3633
SDK1,-3.8487601926819,2.66392239866446e-09,Downregulated,nervous system development (GO:0007399),CHEMBL49689,CHEMBL2560
SDK1,-3.8487601926819,2.66392239866446e-09,Downregulated,nervous system development (GO:0007399),CHEMBL27266,CHEMBL2560
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL427748,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL437472,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL411171,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL438733,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL2373291,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL1790962,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL1790963,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL2373292,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL414131,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL384792,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL267754,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL438745,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL410321,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL263294,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL407422,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL409339,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL441573,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL409433,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL411057,CHEMBL4401
EDNRB,-3.73894696982308,8.74485188577219e-33,Downregulated,nervous system development (GO:0007399),CHEMBL263855,CHEMBL4401
PDGFRA,-2.66343537505545,0.0004141438987123,Downregulated,embryonic digestive tract development (GO:0048566); embryonic skeletal system development (GO:0048706); embryonic organ morphogenesis (GO:0048562),CHEMBL4577779,CHEMBL3466
